file name,event start time,event end time, event width,event depth,event interval
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,607.9498,607.9546,0.0048,66.4062844849,1.1598
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,643.9334,643.9498,0.0164,65.3016319908,7.8486
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,686.7006,686.7116,0.011,63.6715335138,0.6452
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,717.4478,717.452,0.0042,27.5108590262,1.9158
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,717.4552,717.4674,0.0122,48.7007057265,0.0032
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,718.2052,718.2178,0.0126,64.8745096261,0.7378
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,731.8498,731.853,0.0032,77.6460292053,0.2878
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,800.4444,800.4484,0.004,49.6598389893,0.282
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,814.0588,814.0622,0.0034,48.7537724035,9.329
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,873.1822,873.19,0.0078,73.486952186,3.153
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1108.8526,1108.8578,0.0052,72.2959708346,1.4746
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1119.145,1119.1488,0.0038,74.8294478567,1.7458
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1136.9026,1136.9058,0.0032,61.942089386,0.2326
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1139.7258,1139.737,0.0112,71.5682569231,2.82
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1176.4668,1176.471,0.0042,72.1517567662,3.7036
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1186.2732,1186.2816,0.0084,69.3164109584,0.1302
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1192.1274,1192.1452,0.0178,70.486061518,0.9728
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1244.2382,1244.247,0.0088,70.3520417924,1.6712
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1255.5714,1255.5846,0.0132,70.5370305842,1.1478
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1258.417,1258.426,0.009,70.7075419922,0.4034
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1259.203,1259.2196,0.0166,69.8424262578,0.777
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1267.407,1267.425,0.018,70.0823334961,0.8842
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1304.0654,1304.0838,0.0184,26.2956846552,0.952
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1312.9238,1312.942,0.0182,69.784701585,0.1994
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1326.3916,1326.3982,0.0066,69.5772336648,0.4842
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1333.838,1333.8528,0.0148,70.8404904587,0.0202
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1375.1772,1375.1914,0.0142,69.955896168,6.6492
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1378.6882,1378.6986,0.0104,70.2678997333,1.5564
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1424.8106,1424.8214,0.0108,70.7095080566,3.2256
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1425.0882,1425.1024,0.0142,71.4412440168,0.2668
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1431.6234,1431.6288,0.0054,69.9525732422,3.7638
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1434.1656,1434.1724,0.0068,70.9032232307,1.349
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1442.7602,1442.7748,0.0146,78.0670329556,2.3826
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1451.0666,1451.0806,0.014,70.1640656041,1.1648
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_1,1461.6942,1461.708,0.0138,70.8552532694,0.073
 
file name,event start time,event end time, event width,event depth,event interval
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,429.2314,429.2354,0.004,66.1511876221,0.5972
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,446.7766,446.7954,0.0188,64.8148703457,2.624
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,448.8634,448.8754,0.012,65.8356342773,0.8254
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,524.2238,524.2392,0.0154,63.983141963,6.2688
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,530.9946,531.0052,0.0106,64.6953910856,1.5452
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,534.4266,534.4382,0.0116,64.2496304216,2.6588
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,552.6808,552.6944,0.0136,63.3518009679,1.9582
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,576.4858,576.4912,0.0054,64.0412727865,1.5074
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,578.2024,578.214,0.0116,64.1611575212,0.1482
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,585.012,585.0258,0.0138,63.7851145338,4.247
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,616.881,616.8844,0.0034,66.677341165,3.68934881474e+15
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,640.6974,640.7014,0.004,64.0632271729,5.3884
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,789.0424,789.0598,0.0174,64.4692872777,12.331
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,817.2416,817.2544,0.0128,64.5630990601,1.6534
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,833.4896,833.5082,0.0186,64.1152644594,2.5854
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,889.9112,889.929,0.0178,63.7402513825,3.68934881474e+15
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,928.2146,928.2282,0.0136,63.4662953096,3.8288
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,996.7306,996.7474,0.0168,63.2454847935,4.9488
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1108.6664,1108.6788,0.0124,63.8260627205,1.2886
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1115.5102,1115.5196,0.0094,65.8690155419,2.7298
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1124.4012,1124.4148,0.0136,64.0231541533,0.1104
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1124.5554,1124.5668,0.0114,63.4645605469,0.1406
DESKTOP_B89791N_20181017_FAJ16330_MN18839_TBA_Preload_run_FH101718_9_17093.fast5_Channel_2,1176.9558,1176.968,0.0122,64.7911705943,0.2886
